index,question,k,threshold,doc_id,score,contenu
faiss_index_long,Un festival en été,4,0.8,46,0.4297,"approfondir un langage commun. J’ai un souvenir marquant d’une mise en scène de Ludovic Lagarde, avec ce feu et cette urgence dramatique qui font tout l’intérêt de Lully : ces contrastes saisissants entre récitatifs en clair-obscur et explosions instrumentales et chorales. Ici, pas encore d’airs acc"
faiss_index_long,Un festival en été,3,0.4,55,0.3892,TITRE: Festival du Merveilleux
faiss_index_short,J'aimerais assister à un comedy club,7,0.6,9,0.5015,"TITRE: Tour de contes à la Grande Mosquée de Paris
DESCRIPTION: La Cour des Contes
CONDITIONS: réservation sur hello asso de la compagnie
"
faiss_index_short,J'aimerais assister à un comedy club,7,0.6,40,0.5015,"TITRE: Tour de contes à la Grande Mosquée de Paris
DESCRIPTION: La Cour des Contes
CONDITIONS: réservation sur hello asso de la compagnie
"
faiss_index_short,J'aimerais assister à un comedy club,7,0.6,39,0.5092,"TITRE: Le plaisir, la peur et le triomphe
DESCRIPTION: Club Tendre - Joaquim Fossi
CONDITIONS: Entrées payantes
"
faiss_index_short,J'aimerais assister à un comedy club,7,0.6,92,0.5161,"TITRE: LA LOGE
DESCRIPTION: dans le cadre du Festival Culture Bar-Bars
CONDITIONS: 
"
faiss_index_short,J'aimerais assister à un comedy club,7,0.6,98,0.5194,"TITRE: LE PRINCE DU BIZARRE
DESCRIPTION: dans le cadre du Festival Culture Bar-Bars
CONDITIONS: 
"
faiss_index_short,J'aimerais assister à un comedy club,7,0.6,81,0.5255,"TITRE: SOLA
DESCRIPTION: dans le cadre du Festival Culture Bar-Bars
CONDITIONS: 
"
faiss_index_short,J'aimerais assister à un comedy club,7,0.6,80,0.5258,"TITRE: Tèmpi Tèmtoa
DESCRIPTION: Cie Productions Anecdotiques/Barbara Glet & Louis Galliot
CONDITIONS: 14€ adulte, 7€ pour les moins de 30 ans
"
faiss_index_long,J'aimerais assister à un comedy club,6,0.7,57,0.5021,"https://youtu.be/ZfP8uftJ1hQ  
CONDITIONS: Prix billetterie et lunettes connectées gratuite sur réservation."
faiss_index_long,J'aimerais assister à un comedy club,6,0.7,33,0.5141,"Ecrit par Yeelem Jappin et Julie Roux 
CONDITIONS: Entrée libre sur réservation"
faiss_index_long,J'aimerais assister à un comedy club,6,0.7,6,0.5223,"Il s’agit d’une forme de création volontairement courte, rapide, incomplète, construite en quelques heures, en tentant d’utiliser au maximum les récits du jour. Pour dire, entre autres choses, que les théâtres peuvent accueillir ça aussi, la possibilité de venir parler, se faire écrire quelque chose"
faiss_index_long,J'aimerais assister à un comedy club,6,0.7,79,0.5257,"Avec ce spectacle la compagnie A. poursuit sa réflexion sur les ""grands récits"" qui orientent nos sociétés et nos imaginaires, sur une scène pensée comme un laboratoire. En interrogeant le réel tel qu’il se dessine en ligne et en dévoilant les stratégies de l’extrême-droite pour imposer ses idées le"
faiss_index_long,J'aimerais assister à un comedy club,6,0.7,56,0.5308,"Cette entrée au Répertoire est celle d’une œuvre incomprise en son temps, que l’on redécouvre en écho à nos préoccupations sociétales. Clément Hervieu-Léger, nouvel administrateur général de la Comédie-Française, a été séduit par la modernité de cette pièce sur la danse – discipline de ses débuts do"
faiss_index_long,J'aimerais assister à un comedy club,6,0.7,54,0.5391,"de ce récent sondage qui affirme qu'une majorité de français serait pour le retour d'un ""Napoléon"" au pouvoir ! Incroyable synchronicité...  Avec Éric Delcourt, Salomé Granelli, Boubacar Kabo et Solay.   Une comédie écrite par Éric Delcourt et Tony Zannier, mise en scène par Romain Thunin"
